Groundwater Sustainability Plan,Allocations,Allocation Base,Allocation Description,Trading,Trading Description,Taxes/Fees,Tax Base,Rate Structure,Taxes Description,Pumping Restrictions,Restriction Description,Restriction Description (Just Page Number),Efficiency Incentives,Incentive Page Number,Incentive Description,Other,Notes,Status,Last updated,GSP_ID
Answers,Y/M/N,Historic Pumping \ Acreage \ Irrigated Acreage \ Other \ Multiple,Brief explanation of how allocations will be made and their base,Y/M/N,Brief explanation of the trading system,Y/M/N,Extraction \ Acreage \ Irrigated Acreage \ Other \ Multiple,Flat \ Tiered,"Brief explanation of what is being taxed, rates (if available), and the tax base",Y/M/N,Brief explanation of what triggers the restriction,Brief explanation of what triggers the restriction,Y/M/N,,Brief explanation of what the efficiency incentives are,Any other demand management,,Status,Last updated (mm/dd/yyyy),GSP_ID
Groundwater Sustainability Plan for Aliso Water District,M,NA,,M,,M,Extraction,Tiered,,N,NA,NA,M,"175, 177","p.175 Incentives could be awarded to users who utilize surface water in lieu of groundwater, convert land use in order to reduce pumping, or make updates to their irrigation system that improve data management or increase efficiency.  The District may reduce or reimburse annual assessments for landowners that import surface water. It may fund, in part or whole, improvements that benefit the entire GSA. 

Voluntary land fallowing is contingent on the willingness of farmers to either temporarily or permanently fallow their land. Farmers could be offered incentives to volunteer to fallow their fields through subsidies, land purchases, and water credits for other fields

p.177 Offering incentives to farmers for implementing projects that will increase on-farm efficiencies can promote aquifer sustainability by reducing or eliminating water that leaves the District via irrigation runoff, wind and spray loss, and leaks. Possible projects to incentivize may include installation of soil moisture sensors, utilization of high-efficiency irrigation methods.","p.174 There is potential to recharge water on lands outside of AWD if suitable recharge pond locations cannot be found or acquired within the District. The District is open to partnering with other
agencies in the Delta-Mendota, Madera, and Chowchilla Subbasins to establish a regional groundwater banking program. ",,Inadequate,,7
Groundwater Sustainability Plan for Westside Subbasin,Y,Acreage,,Y,,Y,NA,NA,,Y,p.307 The amount participants can extract from wells will be a fixed proportion of each water  user’s annual groundwater allocation (i.e. 50%),307,N,NA,NA,,,Incomplete,,8
Groundwater Sustainability Plan for Merced Subbasin,M,Acreage,,M,,M,Extraction,NA,,N,NA,NA,M,,This proposal's goals are to save water and energy by awarding rebates to customers for upgrading to water efficient appliances,"p.332-336 a long list of projects, think another look would be good
maybe groundwater banking",,Incomplete,,9
Groundwater Sustainability Plan for Santa Cruz Mid-County,M,NA,"p 400: In a situation where the planned Projects and Management Actions are insufficient to reach sustainability, the MGA would determine the amount of water that affected pumpers could take sustainably, and the pumpers would be required to reduce their groundwater extraction to that allocation.",N,NA,M,Extraction,NA,p 401: The MGA will consider the adoption of fees and/or other penalties for violations of pumping allowance and/or reporting in the event that restrictions are implemented.,M,Potential policy to curtail and/or restrict groundwater extractions from areas at high risk of seawater intrusion or surface water depletions would be considered if the planned Projects and Management Actions are insufficient to reach and/or maintain sustainability and one or more sustainability indicator is likely to dip below the minimum threshold by 2040. Allocations would be determined by the MGA and all pumpers subject to allocations would be required to me metered. ,"369, 400, 401",Y,370,"The City of Santa Cruz Water Department (SCWD) uses fees paid by developers to support a robust rebate program that has resulted in a significant reduction in water demand. The County of Santa Cruz, in order to promote more efficient water use in rural areas, adopted code requirements that all small water systems meter and report monthly water production beginning in October 2015. Additionally, by October 2017, all small water systems with 15 or more coonnections were required to install individual meters on each connection to be able to track individual water use and potentially excessive usage. ",Soquel Creek Water District’s Water Demand Offset (WDO) program requires new development to offset 200% of their project’s expected water demand so that new development will actually reduce water use in the Basin. p.370,Allocations will only be made as backstop when all other measures fail  p. 400,Approved,02/21/2023,11
Groundwater Sustainability Plan for Chowchilla Subbasin,M,NA,,M,,M,NA,NA,,Y,"the Madera County demand management program will reduce average annual groundwater pumping by 27,550 acre‐feet (16,250 acre‐feet in Madera County West and 11,300 in Madera County East). However, if Madera County project yields are lower than initially estimated, Madera County will proportionally increase the level of demand management",,Y,"330, 332","incentivize investment in water supply infrastructure, incentivize economically efficient water use, incentivize recharge in aggregate, and in specific regions p.330

potential easement programs and other sources of funding to incentivize fallowing or irrigated lands p.332","p.330 switching to less water intensive crops
",,Inadequate,,12
Groundwater Sustainability Plan for the Northern and Central Delta-Mendota Regions,M,NA,Not specified,M,"p. 517: ""Programs that could 
incentivize the use of surface water over groundwater could include, but are not limited to, groundwater extraction 
fees, a groundwater accounting framework, and rules that allow growers to sell ‘groundwater credits.’ It is assumed 
that this management action will be developed over the next five years with input from the GSAs and participating 
growers and would be implemented beginning in January 2026""",M,Extraction,NA,"p. 519: ""A groundwater extraction fee or groundwater production charge could be collected from entities that own or operate a 
water-producing well. Revenue from these fees could then be used to pay for a variety of activities""",M,"p. 514 about Lower Aquifer Pumping Rules: ""Specifically, during groundwater extraction, if groundwater elevations approach or 
reach the minimum threshold of the nearest representative monitoring well(s), actions must be implemented in order 
to avoid undesirable results""",Groundwater elevations approaching the minimum threshold,N,NA,NA,"The County shall support water banking when the program has local sponsorship and involvement and provides new benefits to the County. A production well would be constructed to recover the banked water during dry periods, with the recharge water source varying from year to year. The proposed project would help provide a long-term solution by banking excess water during wet periods by diverting excess water and storing it in recharge ponds, accelerating the rate of groundwater recharge for the local aquifer.  Tier 2 Project (developed later potentially) – Patterson Irrigation District Groundwater Bank and/or Flood-Managed Aquifer Recharge (MAR)- type Project",The GSP is incomplete,Inadequate,,13
Groundwater Sustainability Plan for Farmers Water District,N,NA,,N,,M,Extraction,NA,,M,"p.174 In the event of extremely dry conditions and groundwater extractions that exceed sustainable levels, FWD will work to develop targeted pumping reductions to reduce undesirable results. Targeted pumping reductions will be accomplished by outreach and coordination with local stakeholders and landowners. FWD will work with local stakeholders to identify potential locations of pumping reductions",174,N,NA,NA,NA,,Inadequate,,14
Groundwater Sustainability Plan for the San Joaquin River Contractors in Delta Mendota Subbasin,N,NA,,N,,M,Extraction,NA,,N,NA,NA,N,NA,NA,"p.144 Private Well Pumping for credit.  The member entities of the SJRECWA, allow landowners to pump private well water into the district facilities for credit. The SJREC entities have implemented a policy to regulate pumping and ensure a healthy aquifer while maintaining good service of surface water. ","The City of Newman (p.156) and the City of Gustine (p.163), City of Los Banosc (p.170), City of Firebaugh (p.183), City of Mendota (p.190) will develop projects to offset overdraft including demand reduction through reduced watering and purchasing groundwater credits. County of Madera (p.203) and County of Fresno  (p.215) will pursue groundwat er credits.County of Merced will consider purchasing groundwater credits and reducing pumping elsewhere in the GSA (p.209). ",Inadequate,,15
Groundwater Sustainability Plan for Oxnard Subbasin,Y,Historic Pumping,?,Y,p 551: Participants are able to submit anonymous bids and offers to an electronic trading desk matching buyers and sellers. Trades are limited by geography and quantity. Transfers cannot result in net increase in total market allocations. ,Y,Extraction,Tiered,?,N,NA,NA,Y,546,p. 546 temporary land fallowing program,NA,Allocation already implemented by ordinance in 2019; fees already allowed by state legislature since the 80s,Approved,02/21/2023,16
